Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport2, 3.2, 55.956887, 54.655344, 1, 2, 1
Airport2, 3.1, 56.408870, 55.956887, 1, 2, 1
Airport2, 4.4, 87.470013, 87.749287, 1, 3, 1
Airport2, 4.3, 88.655146, 90.807233, 1, 3, 1
Airport2, 3.5, 116.478380, 107.922357, 1, 2, 1
Airport2, 4.6, 119.838709, 131.429280, 1, 3, 1
Airport2, 1.7, 252.530260, 134.430524, 1, 0, 1
Airport2, 1.8, 283.775222, 149.216058, 1, 0, 1
Airport2, 3.10, 177.604675, 177.439646, 1, 2, 1
Airport2, 4.9, 176.333265, 191.869412, 1, 3, 1
Airport2, 4.2, 205.856549, 194.491326, 2, 2, 1
Airport2, 4.1, 208.431839, 194.491326, 2, 2, 1
Airport2, 2.8, 268.509227, 237.064736, 2, 2, 1
Airport2, 2.3, 235.559049, 241.784833, 2, 3, 1
Airport2, 4.10, 299.277207, 257.445222, 2, 2, 1
Airport2, 2.6, 264.358043, 276.287408, 2, 3, 1
Airport2, 3.8, 294.506566, 305.999296, 2, 3, 1
Airport2, 2.9, 355.095988, 319.319369, 3, 2, 1
Airport2, 3.3, 477.733160, 329.590546, 2, 0, 1
Airport2, 2.3, 412.363457, 392.400212, 4, 2, 1
Airport2, 1.7, 416.179245, 403.227147, 3, 2, 1
Airport2, 2.8, 447.408746, 412.363457, 4, 2, 1
Airport2, 3.10, 438.953996, 432.264731, 4, 2, 1
Airport2, 1.1, 413.686863, 450.330091, 4, 3, 1
Airport2, 1.10, 417.500082, 419.255837, 2, 3, 1
Airport2, 4.10, 500.005492, 451.803884, 4, 2, 1
Airport2, 3.9, 638.471700, 472.674678, 2, 0, 1
Airport2, 2.10, 670.299802, 501.496735, 2, 0, 1
Airport2, 3.1, 701.747357, 521.201759, 3, 0, 1
Airport2, 3.2, 734.823074, 551.373136, 3, 0, 1
Airport2, 2.7, 799.000879, 734.823074, 3, 0, 1
Airport2, 2.5, 598.220168, 743.954751, 3, 3, 1
Airport2, 4.10, 628.103167, 751.742067, 6, 3, 1
Airport2, 4.6, 896.506974, 756.929075, 3, 0, 1
Airport2, 4.8, 660.422319, 759.669618, 3, 3, 1
