Airport, Airplane ID, Arrival Time, Local Simulation Time, Number of Flights, Origin, Destination
Airport2, 2.2, 55.956887, 53.629319, 0, 1, 0
Airport2, 2.1, 56.408870, 54.332175, 0, 1, 0
Airport2, 2.4, 86.690669, 84.333168, 0, 1, 3
Airport2, 2.3, 87.938316, 85.669344, 0, 1, 3
Airport2, 2.5, 117.081291, 115.050990, 0, 1, 0
Airport2, 2.6, 119.693188, 117.440860, 0, 1, 3
Airport2, 2.7, 146.150368, 144.713664, 0, 1, 2
Airport2, 2.8, 148.816759, 146.445867, 0, 1, 2
Airport2, 2.9, 176.162183, 174.117111, 0, 1, 3
Airport2, 2.10, 179.268910, 177.439646, 0, 1, 0
Airport2, 3.1, 206.182315, 204.423626, 1, 1, 0
Airport2, 3.2, 208.893933, 207.103353, 1, 1, 0
Airport2, 4.4, 237.686213, 235.804606, 1, 1, 3
Airport2, 4.3, 239.041094, 237.064736, 1, 1, 2
Airport2, 3.5, 266.308906, 264.730018, 1, 1, 3
Airport2, 4.6, 269.948666, 268.142486, 1, 1, 0
Airport2, 3.10, 297.409419, 294.695001, 1, 1, 3
Airport2, 4.9, 300.336720, 298.250125, 1, 1, 0
Airport2, 4.2, 326.072258, 323.954397, 2, 1, 2
Airport2, 4.1, 330.900996, 328.886370, 2, 1, 2
Airport2, 2.3, 356.335934, 354.711262, 2, 1, 2
Airport2, 1.7, 360.294667, 358.761343, 1, 1, 2
Airport2, 2.6, 385.680577, 383.914564, 2, 1, 0
Airport2, 2.8, 390.499681, 388.506917, 2, 1, 2
Airport2, 1.8, 416.203349, 413.927516, 1, 1, 3
Airport2, 3.8, 418.973891, 417.364832, 2, 1, 3
Airport2, 4.10, 444.267760, 443.076910, 2, 1, 2
Airport2, 2.9, 452.606186, 450.054658, 3, 1, 0
Airport2, 2.3, 474.815748, 472.674678, 4, 1, 0
Airport2, 1.7, 480.928679, 479.113401, 3, 1, 0
Airport2, 3.10, 505.183524, 503.209134, 4, 1, 0
Airport2, 1.1, 512.761053, 510.121014, 4, 1, 2
Airport2, 1.10, 536.025255, 533.266319, 2, 1, 0
Airport2, 2.8, 540.278772, 538.575089, 4, 1, 2
Airport2, 3.3, 563.685866, 561.932614, 2, 1, 2
Airport2, 4.10, 573.003624, 570.702302, 4, 1, 3
Airport2, 3.9, 694.454786, 692.983449, 2, 1, 0
Airport2, 2.10, 727.984158, 725.104635, 2, 1, 3
Airport2, 2.5, 657.300851, 655.485151, 3, 1, 3
Airport2, 4.10, 685.081624, 683.827159, 6, 1, 2
Airport2, 3.1, 759.050362, 756.929075, 3, 1, 0
Airport2, 4.8, 718.741763, 716.738052, 3, 1, 2
Airport2, 3.2, 791.006163, 789.408418, 3, 1, 0
Airport2, 2.7, 855.561923, 853.883701, 3, 1, 2
Airport2, 4.6, 954.672568, 951.766443, 3, 1, 2
